2022-09-08 05:20:42,pingineer_jp,domain,avscccieoseesaccareevoi.viiacucavnsascrrooearrio.sdlopd.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744716669845506
2022-09-08 05:20:47,pingineer_jp,domain,avscacieeaecseacercevoi.viiasucarnsvscrroreaio.ppsbcf.cyou,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744738987753472
2022-09-08 05:20:53,pingineer_jp,domain,avscccieeaeesaccareevoi.viiasucavnsascrroreaio.tbbahr5.tokyo,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744761368543235
2022-09-08 05:20:58,pingineer_jp,domain,avscccaeiseesaaccrsoroi.visavucavnsaserrrieaio.nwey3w6.tokyo,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744783904571393
2022-09-08 05:21:03,pingineer_jp,domain,avicacveeseasevcsrcreoi.viiavuerrnsvscrrsieeaio.6hqstri.tokyo,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744806373453825
2022-09-08 05:21:09,pingineer_jp,domain,avscccieeaeesaccareevoi.viiasucavnsascrroreaio.ljefyj.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744828716494850
2022-09-08 05:21:15,pingineer_jp,domain,avscccaeoseesaacarseroi.visacucavnsaserroreairio.lhrlkr.cyou,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744855174160384
2022-09-08 05:21:20,pingineer_jp,domain,avicacveeaeasevcercreoi.viiavucrrnsvscrroieeaio.jsfosc.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744877336887299
2022-09-08 05:21:26,pingineer_jp,domain,avscccaeoseesaacarseroi.visacucavnsaserroreairio.gxkcxhn.bar,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744899612831751
2022-09-08 05:21:31,pingineer_jp,domain,dggshsg.top,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744921502883840
2022-09-08 05:21:37,pingineer_jp,domain,avicacveeseasevcsrcreoi.viiavuerrnsvscrrsieeaio.tjzsuc.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744947952173064
2022-09-08 05:21:42,pingineer_jp,domain,avicacveoseaseacsrceeoi.viiacuerrnsvscrroseieraio.nlxlcrg.bar,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744970232332291
2022-09-08 05:21:49,pingineer_jp,domain,avicccveeseesaacvrsreoi.viiavuervnsascrrsieaeio.a59wwgh.tokyo,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744996857757698
2022-09-08 05:21:54,pingineer_jp,domain,avicacveoseaseacerceeoi.viiacucrrnsvscrrooeieraio.of5uthp.tokyo,#phishing #scam,https://twitter.com/pingineer_jp/status/1567745019456688134
2022-09-08 05:21:59,pingineer_jp,domain,avicacveeseasevcsrcreoi.viiavuerrnsvscrrsieeaio.bqtksis.tokyo,#phishing #scam,https://twitter.com/pingineer_jp/status/1567745042072371200
