2022-09-15 04:01:56,dubstard,url,https://vimeo.my.id,,https://twitter.com/dubstard/status/1570261610563862529
2022-09-15 04:01:56,dubstard,url,https://upwork.my.id,,https://twitter.com/dubstard/status/1570261610563862529
2022-09-15 04:01:56,dubstard,url,https://walmart.my.id,,https://twitter.com/dubstard/status/1570261610563862529
2022-09-15 04:13:26,ecarlesi,url,http://carte-vitales.fr,#phishing,https://twitter.com/ecarlesi/status/1570264505921466368
2022-09-15 04:16:21,ecarlesi,url,https://review-path.click/huntington/,#phishing,https://twitter.com/ecarlesi/status/1570265239987572738
2022-09-15 04:21:40,dubstard,url,https://trustassets.cc,#scam,https://twitter.com/dubstard/status/1570266574497673216
2022-09-15 04:26:26,dubstard,url,https://legitpharmacystore.com,,https://twitter.com/dubstard/status/1570267774244761602
2022-09-15 04:27:38,ecarlesi,url,http://service-production.ovh/net2ftp-1663152581.zip,#phishing,https://twitter.com/ecarlesi/status/1570268078453268484
2022-09-15 04:28:50,ecarlesi,url,http://service-production.ovh/x9km-o_f_d/mail.zip,#phishing,https://twitter.com/ecarlesi/status/1570268378375553025
2022-09-15 04:31:23,dubstard,url,https://rocketinvestment.biz,#phishing #scam,https://twitter.com/dubstard/status/1570269021408296965
2022-09-15 04:31:23,dubstard,ip,198.54.120.243,#phishing #scam,https://twitter.com/dubstard/status/1570269021408296965
2022-09-15 04:33:39,harugasumi,url,https://is.gd/0q4tjp,#phishing,https://twitter.com/harugasumi/status/1570269591301132288
2022-09-15 04:33:39,harugasumi,url,https://www.scarlessclinic.com/jp,#phishing,https://twitter.com/harugasumi/status/1570269591301132288
2022-09-15 04:33:49,ecarlesi,url,http://mtbcklns.us/,#phishing,https://twitter.com/ecarlesi/status/1570269632568647681
2022-09-15 04:34:10,ecarlesi,url,https://gamize.store,#phishing,https://twitter.com/ecarlesi/status/1570269721081286656
2022-09-15 04:35:13,dubstard,ip,198.54.126.119,#phishing #scam,https://twitter.com/dubstard/status/1570269985787740164
2022-09-15 04:35:13,dubstard,url,https://crosscountrybanklc.com,#phishing #scam,https://twitter.com/dubstard/status/1570269985787740164
2022-09-15 04:37:41,harugasumi,url,https://www.amazon.yonu2kaobei8ouuds.looyuuetqs.com,#phishing,https://twitter.com/harugasumi/status/1570270605882306562
2022-09-15 04:42:19,dubstard,url,https://basicminers.com,#phishing #scam,https://twitter.com/dubstard/status/1570271771965915136
2022-09-15 04:42:19,dubstard,ip,199.188.206.6,#phishing #scam,https://twitter.com/dubstard/status/1570271771965915136
2022-09-15 04:43:55,ecarlesi,url,http://ruclip.store,#phishing,https://twitter.com/ecarlesi/status/1570272175482871810
2022-09-15 04:45:03,ecarlesi,url,https://mtbcklns.us/,#phishing,https://twitter.com/ecarlesi/status/1570272459907297282
2022-09-15 04:47:03,dubstard,url,https://tradx.site,#phishing #scam,https://twitter.com/dubstard/status/1570272964037206016
2022-09-15 04:49:14,ecarlesi,url,https://uniera.shop,#phishing,https://twitter.com/ecarlesi/status/1570273513411608576
2022-09-15 04:53:25,dubstard,url,https://bitmasters.ltd,#phishing #scam,https://twitter.com/dubstard/status/1570274564051030016
2022-09-15 04:57:51,dubstard,ip,199.188.200.254,#scam,https://twitter.com/dubstard/status/1570275683204534272
2022-09-15 04:57:51,dubstard,url,https://onlinestarbank.com,#scam,https://twitter.com/dubstard/status/1570275683204534272
2022-09-15 05:00:40,ecarlesi,url,https://winer31.com/codecanyon-7d5nygkc-betlab-sports-betting-platform.zip,#phishing,https://twitter.com/ecarlesi/status/1570276389324214274
2022-09-15 05:04:00,dubstard,url,https://cryptoglobalminers.org,#scam,https://twitter.com/dubstard/status/1570277229468487681
2022-09-15 05:04:00,dubstard,ip,198.54.126.19,#scam,https://twitter.com/dubstard/status/1570277229468487681
2022-09-15 05:05:28,dubstard,url,https://blessedbernedoodlepuppies.com,#scam,https://twitter.com/dubstard/status/1570277600563527680
2022-09-15 05:07:30,ecarlesi,url,http://xustk.shop,#phishing,https://twitter.com/ecarlesi/status/1570278110305591296
2022-09-15 05:09:09,dubstard,url,https://gregorysmainecoons.com,#scam,https://twitter.com/dubstard/status/1570278525499838465
2022-09-15 05:15:17,dubstard,url,https://bitraderpro2.com,#scam,https://twitter.com/dubstard/status/1570280069418913794
2022-09-15 05:22:48,KesaGataMe0,ip,23.224.128.175,#phishing,https://twitter.com/KesaGataMe0/status/1570281960907608065
2022-09-15 05:22:48,KesaGataMe0,url,https://www.mobitcojp.cc/,#phishing,https://twitter.com/KesaGataMe0/status/1570281960907608065
2022-09-15 05:25:13,ecarlesi,url,http://alo789.asia/20220404_ee88link_f6bf7e1b2c0057bc8582_20220404083337_archive.zip,#phishing,https://twitter.com/ecarlesi/status/1570282568859238400
2022-09-15 05:25:32,ecarlesi,url,https://sparkg.shop,#phishing,https://twitter.com/ecarlesi/status/1570282647766847488
2022-09-15 05:31:00,FromPorts,ip,81.169.201.154,#phishing,https://twitter.com/FromPorts/status/1570284023603253250
2022-09-15 05:31:00,FromPorts,ip,102.75.176.203,#phishing,https://twitter.com/FromPorts/status/1570284023603253250
2022-09-15 05:31:00,FromPorts,ip,34.199.8.144,#phishing,https://twitter.com/FromPorts/status/1570284023603253250
2022-09-15 05:35:32,ecarlesi,url,https://colemanproductsandservices.xyz/ali.zip,#phishing,https://twitter.com/ecarlesi/status/1570285164810608640
2022-09-15 05:40:58,dubstard,url,https://alfundmining.com,,https://twitter.com/dubstard/status/1570286534162612224
2022-09-15 05:40:58,dubstard,url,https://accordcapital.co.uk,,https://twitter.com/dubstard/status/1570286534162612224
2022-09-15 05:40:58,dubstard,url,https://5xcrypt.com,,https://twitter.com/dubstard/status/1570286534162612224
2022-09-15 05:40:58,dubstard,url,https://360global-miners.com,,https://twitter.com/dubstard/status/1570286534162612224
2022-09-15 05:40:58,dubstard,url,https://accountasset.com,,https://twitter.com/dubstard/status/1570286534162612224
2022-09-15 05:42:13,dubstard,url,https://alphatradespro.net,#scam,https://twitter.com/dubstard/status/1570286846759796740
2022-09-15 05:42:13,dubstard,url,https://binary-optionsfxminers.online,#scam,https://twitter.com/dubstard/status/1570286846759796740
2022-09-15 05:42:13,dubstard,url,https://bit-minerfx.com,#scam,https://twitter.com/dubstard/status/1570286846759796740
2022-09-15 05:42:13,dubstard,url,https://assetglobal-miners.com,#scam,https://twitter.com/dubstard/status/1570286846759796740
2022-09-15 05:42:13,dubstard,url,https://bitgominers.org,#scam,https://twitter.com/dubstard/status/1570286846759796740
2022-09-15 05:42:13,dubstard,url,https://bitbitetradesfx.com,#scam,https://twitter.com/dubstard/status/1570286846759796740
2022-09-15 05:42:13,dubstard,url,https://ariseoptradex.com,#scam,https://twitter.com/dubstard/status/1570286846759796740
2022-09-15 05:42:13,dubstard,url,https://altsminers.com,#scam,https://twitter.com/dubstard/status/1570286846759796740
2022-09-15 05:42:13,dubstard,url,https://astrofxmining.com,#scam,https://twitter.com/dubstard/status/1570286846759796740
2022-09-15 05:42:50,dubstard,url,https://briskminersfx.com,#scam,https://twitter.com/dubstard/status/1570287001219342337
2022-09-15 05:42:50,dubstard,url,https://blockchain-miners.ltd,#scam,https://twitter.com/dubstard/status/1570287001219342337
2022-09-15 05:42:50,dubstard,url,https://blockzitrade.com,#scam,https://twitter.com/dubstard/status/1570287001219342337
2022-09-15 05:42:50,dubstard,url,https://coinrexora.com,#scam,https://twitter.com/dubstard/status/1570287001219342337
2022-09-15 05:42:50,dubstard,url,https://bruckminers-trade.com,#scam,https://twitter.com/dubstard/status/1570287001219342337
2022-09-15 05:42:50,dubstard,url,https://cmcmarketpro.com,#scam,https://twitter.com/dubstard/status/1570287001219342337
2022-09-15 05:42:50,dubstard,url,https://bitpowerminers.com,#scam,https://twitter.com/dubstard/status/1570287001219342337
2022-09-15 05:42:50,dubstard,url,https://codaxoptrades.com,#scam,https://twitter.com/dubstard/status/1570287001219342337
2022-09-15 05:42:50,dubstard,url,https://coinglobal.biz,#scam,https://twitter.com/dubstard/status/1570287001219342337
2022-09-15 05:42:50,dubstard,url,https://cloudminers.uk,#scam,https://twitter.com/dubstard/status/1570287001219342337
2022-09-15 05:42:50,dubstard,url,https://cloxminers.org,#scam,https://twitter.com/dubstard/status/1570287001219342337
2022-09-15 05:43:15,dubstard,url,https://cointrust-mining.com,#scam,https://twitter.com/dubstard/status/1570287107662381056
2022-09-15 05:43:15,dubstard,url,https://cprimegloldminer.com,#scam,https://twitter.com/dubstard/status/1570287107662381056
2022-09-15 05:43:15,dubstard,url,https://cryptocoinintercom.com,#scam,https://twitter.com/dubstard/status/1570287107662381056
2022-09-15 05:43:15,dubstard,url,https://convexminers.ltd,#scam,https://twitter.com/dubstard/status/1570287107662381056
2022-09-15 05:43:15,dubstard,url,https://crypto-blockfxtrade.com,#scam,https://twitter.com/dubstard/status/1570287107662381056
2022-09-15 05:43:15,dubstard,url,https://cryptolands.live,#scam,https://twitter.com/dubstard/status/1570287107662381056
2022-09-15 05:43:15,dubstard,url,https://cryptoworldtrade.online,#scam,https://twitter.com/dubstard/status/1570287107662381056
2022-09-15 05:43:15,dubstard,url,https://cryptoglobalminersfx.com,#scam,https://twitter.com/dubstard/status/1570287107662381056
2022-09-15 05:43:42,dubstard,url,https://defibitfx.com,#scam,https://twitter.com/dubstard/status/1570287221298585600
2022-09-15 05:43:42,dubstard,url,https://forexgoldminers.com,#scam,https://twitter.com/dubstard/status/1570287221298585600
2022-09-15 05:43:42,dubstard,url,https://exutrade-markets.com,#scam,https://twitter.com/dubstard/status/1570287221298585600
2022-09-15 05:43:42,dubstard,url,https://fxacademy.io,#scam,https://twitter.com/dubstard/status/1570287221298585600
2022-09-15 05:43:42,dubstard,url,https://fxlogicmining.com,#scam,https://twitter.com/dubstard/status/1570287221298585600
2022-09-15 05:43:42,dubstard,url,https://currencyminers-exchange.ltd,#scam,https://twitter.com/dubstard/status/1570287221298585600
2022-09-15 05:43:42,dubstard,url,https://expressminingtrade.com,#scam,https://twitter.com/dubstard/status/1570287221298585600
2022-09-15 05:43:42,dubstard,url,https://geminito.com,#scam,https://twitter.com/dubstard/status/1570287221298585600
2022-09-15 05:43:42,dubstard,url,https://fast-options.com,#scam,https://twitter.com/dubstard/status/1570287221298585600
2022-09-15 05:43:42,dubstard,url,https://definance-hub.com,#scam,https://twitter.com/dubstard/status/1570287221298585600
2022-09-15 05:45:04,dubstard,url,https://perfect-coin.co,#scam,https://twitter.com/dubstard/status/1570287564967530497
2022-09-15 05:45:04,dubstard,url,https://stabletrustmining.com,#scam,https://twitter.com/dubstard/status/1570287564967530497
2022-09-15 05:45:04,dubstard,url,https://qantasfx.ltd,#scam,https://twitter.com/dubstard/status/1570287564967530497
2022-09-15 05:45:04,dubstard,url,https://optimumelitemining.com,#scam,https://twitter.com/dubstard/status/1570287564967530497
2022-09-15 05:45:04,dubstard,url,https://sterlinoptrade.com,#scam,https://twitter.com/dubstard/status/1570287564967530497
2022-09-15 05:45:04,dubstard,url,https://minersoption.com,#scam,https://twitter.com/dubstard/status/1570287564967530497
2022-09-15 05:45:04,dubstard,url,https://miningcryptoprofit.com,#scam,https://twitter.com/dubstard/status/1570287564967530497
2022-09-15 05:45:04,dubstard,url,https://meta-more.com,#scam,https://twitter.com/dubstard/status/1570287564967530497
2022-09-15 05:45:04,dubstard,url,https://miraetrades.com,#scam,https://twitter.com/dubstard/status/1570287564967530497
2022-09-15 05:45:04,dubstard,url,https://rexominers.com,#scam,https://twitter.com/dubstard/status/1570287564967530497
2022-09-15 05:45:04,dubstard,url,https://ontimestocktrade.online,#scam,https://twitter.com/dubstard/status/1570287564967530497
2022-09-15 05:45:37,dubstard,url,https://topvexominers.com,#scam,https://twitter.com/dubstard/status/1570287703316639746
2022-09-15 05:45:37,dubstard,url,https://tradesuccessfx.com,#scam,https://twitter.com/dubstard/status/1570287703316639746
2022-09-15 05:45:37,dubstard,url,https://stockminers.org,#scam,https://twitter.com/dubstard/status/1570287703316639746
2022-09-15 05:45:37,dubstard,url,https://teslafxtrade.com,#scam,https://twitter.com/dubstard/status/1570287703316639746
2022-09-15 05:45:37,dubstard,url,https://supremefxmining.com,#scam,https://twitter.com/dubstard/status/1570287703316639746
2022-09-15 05:45:37,dubstard,url,https://topmultiglobalminersfx.com,#scam,https://twitter.com/dubstard/status/1570287703316639746
2022-09-15 05:45:37,dubstard,url,https://tradebaseminers.com,#scam,https://twitter.com/dubstard/status/1570287703316639746
2022-09-15 05:45:37,dubstard,url,https://trademiningfxhub.com,#scam,https://twitter.com/dubstard/status/1570287703316639746
2022-09-15 05:46:13,dubstard,url,https://verticaloptrades.com,#scam,https://twitter.com/dubstard/status/1570287852474466306
2022-09-15 05:46:13,dubstard,url,https://trustwayscrypton.com,#scam,https://twitter.com/dubstard/status/1570287852474466306
2022-09-15 05:46:13,dubstard,url,https://ultimateminerfx.com,#scam,https://twitter.com/dubstard/status/1570287852474466306
2022-09-15 05:46:13,dubstard,url,https://wisetech-global.org,#scam,https://twitter.com/dubstard/status/1570287852474466306
2022-09-15 05:46:13,dubstard,url,https://vossyholdings.com,#scam,https://twitter.com/dubstard/status/1570287852474466306
2022-09-15 05:46:13,dubstard,url,https://zetastock.com,#scam,https://twitter.com/dubstard/status/1570287852474466306
